booking_id,user_id,resource_id,start_time,end_time,status,created_at
BKG-007501,LSV-0396,ROOM-0004,2026-02-28 11:45:00,2026-02-28 12:15:00,cancelled,2026-02-20 10:33:00
BKG-007502,LSV-0061,ROOM-0004,2026-03-05 10:15:00,2026-03-05 11:45:00,upcoming,2026-02-20 22:53:00
BKG-007503,LSV-0221,ROOM-0005,2026-03-05 19:00:00,2026-03-05 20:30:00,upcoming,2026-02-21 09:08:00
BKG-007504,LSV-0127,ROOM-0008,2026-03-10 12:30:00,2026-03-10 13:00:00,upcoming,2026-02-21 01:46:00
BKG-007505,LSV-0184,ROOM-0009,2026-02-26 11:45:00,2026-02-26 12:45:00,upcoming,2026-02-20 22:20:00
BKG-007506,LSV-0023,ROOM-0006,2026-03-10 14:45:00,2026-03-10 15:45:00,upcoming,2026-02-20 22:13:00
BKG-007507,LSV-0145,ROOM-0004,2026-03-02 09:00:00,2026-03-02 11:00:00,upcoming,2026-02-21 00:52:00
BKG-007508,LSV-0364,ROOM-0010,2026-03-09 16:45:00,2026-03-09 17:15:00,upcoming,2026-02-20 22:16:00
BKG-007509,LSV-0248,ROOM-0002,2026-03-02 14:45:00,2026-03-02 16:45:00,cancelled,2026-02-20 12:16:00
BKG-007510,LSV-0042,ROOM-0002,2026-03-10 09:00:00,2026-03-10 10:00:00,upcoming,2026-02-20 11:44:00
BKG-007511,LSV-0111,ROOM-0002,2026-03-02 15:15:00,2026-03-02 16:15:00,upcoming,2026-02-21 00:17:00
BKG-007512,LSV-0452,ROOM-0008,2026-03-06 10:45:00,2026-03-06 11:45:00,upcoming,2026-02-21 06:20:00
BKG-007513,LSV-0407,ROOM-0007,2026-03-09 14:45:00,2026-03-09 15:45:00,upcoming,2026-02-20 22:02:00
BKG-007514,LSV-0297,ROOM-0006,2026-02-26 15:30:00,2026-02-26 17:00:00,upcoming,2026-02-20 12:40:00
BKG-007515,LSV-0373,ROOM-0009,2026-03-03 14:30:00,2026-03-03 16:30:00,upcoming,2026-02-20 18:25:00
BKG-007516,LSV-0030,ROOM-0011,2026-03-04 09:00:00,2026-03-04 11:00:00,upcoming,2026-02-21 04:45:00
BKG-007517,LSV-0241,ROOM-0007,2026-02-26 12:30:00,2026-02-26 13:30:00,upcoming,2026-02-20 16:29:00
BKG-007518,LSV-0142,ROOM-0004,2026-02-27 12:45:00,2026-02-27 14:45:00,upcoming,2026-02-20 13:37:00
BKG-007519,LSV-0152,ROOM-0006,2026-02-26 18:30:00,2026-02-26 19:00:00,upcoming,2026-02-20 17:37:00
BKG-007520,LSV-0037,ROOM-0010,2026-03-10 15:30:00,2026-03-10 17:00:00,upcoming,2026-02-21 07:51:00
BKG-007521,LSV-0310,ROOM-0011,2026-02-28 08:00:00,2026-02-28 10:00:00,upcoming,2026-02-20 16:09:00
BKG-007522,LSV-0341,ROOM-0002,2026-03-07 19:15:00,2026-03-07 20:15:00,upcoming,2026-02-21 02:46:00
BKG-007523,LSV-0408,ROOM-0007,2026-03-05 17:45:00,2026-03-05 18:15:00,upcoming,2026-02-20 18:07:00
BKG-007524,LSV-0170,ROOM-0001,2026-03-08 10:30:00,2026-03-08 11:30:00,upcoming,2026-02-21 05:35:00
BKG-007525,LSV-0028,ROOM-0011,2026-02-26 15:30:00,2026-02-26 16:00:00,upcoming,2026-02-20 16:24:00
BKG-007526,LSV-0125,ROOM-0001,2026-02-25 18:15:00,2026-02-25 19:45:00,cancelled,2026-02-21 09:49:00
BKG-007527,LSV-0236,ROOM-0008,2026-03-01 20:45:00,2026-03-01 21:45:00,upcoming,2026-02-20 21:21:00
BKG-007528,LSV-0009,ROOM-0005,2026-02-26 13:45:00,2026-02-26 15:45:00,upcoming,2026-02-21 03:56:00
BKG-007529,LSV-0171,ROOM-0003,2026-02-26 11:15:00,2026-02-26 11:45:00,upcoming,2026-02-21 05:17:00
BKG-007530,LSV-0040,ROOM-0007,2026-02-27 11:15:00,2026-02-27 11:45:00,upcoming,2026-02-20 11:47:00
BKG-007531,LSV-0177,ROOM-0001,2026-02-28 20:00:00,2026-02-28 21:00:00,upcoming,2026-02-20 10:49:00
BKG-007532,LSV-0264,ROOM-0006,2026-02-25 09:45:00,2026-02-25 11:45:00,upcoming,2026-02-21 01:21:00
BKG-007533,LSV-0232,ROOM-0004,2026-02-25 10:15:00,2026-02-25 12:15:00,upcoming,2026-02-21 06:22:00
BKG-007534,LSV-0127,ROOM-0003,2026-03-07 12:30:00,2026-03-07 14:00:00,upcoming,2026-02-20 14:19:00
BKG-007535,LSV-0001,ROOM-0009,2026-03-08 10:30:00,2026-03-08 12:30:00,upcoming,2026-02-20 13:03:00
